Frame,A,B,C,D,E,F,G,H,I,J,K,L,M
0,"(337, 242)","(305, 250)","(315, 266)","(336, 263)","(346, 280)","(351, 298)","(331, 291)","(296, 339)","(303, 326)","(323, 327)","(348, 322)","(351, 343)","(324, 354)"
1,"(337, 239)","(306, 251)","(316, 264)","(338, 262)","(348, 277)","(352, 291)","(331, 290)","(297, 334)","(304, 322)","(325, 324)","(349, 323)","(351, 343)","(323, 351)"
2,"(338, 240)","(305, 252)","(317, 264)","(338, 262)","(348, 277)","(351, 292)","(331, 289)","(297, 334)","(304, 322)","(325, 324)","(349, 322)","(351, 343)","(323, 351)"
3,"(337, 238)","(305, 251)","(318, 262)","(336, 258)","(349, 274)","(357, 289)","(332, 288)","(300, 331)","(306, 318)","(327, 321)","(349, 322)","(351, 344)","(322, 349)"
4,"(335, 231)","(306, 249)","(319, 260)","(336, 252)","(348, 264)","(361, 273)","(333, 286)","(303, 328)","(308, 311)","(329, 317)","(348, 321)","(351, 344)","(321, 346)"
5,"(334, 229)","(307, 249)","(320, 259)","(336, 250)","(349, 259)","(365, 270)","(335, 283)","(304, 326)","(308, 308)","(330, 315)","(349, 319)","(351, 344)","(322, 344)"
6,"(334, 225)","(307, 247)","(319, 256)","(336, 246)","(351, 255)","(369, 260)","(339, 279)","(305, 321)","(310, 304)","(329, 312)","(349, 317)","(351, 342)","(323, 339)"
7,"(333, 222)","(306, 248)","(319, 255)","(335, 243)","(353, 248)","(370, 253)","(339, 276)","(304, 316)","(312, 303)","(331, 307)","(349, 315)","(350, 340)","(323, 337)"
8,"(331, 218)","(306, 250)","(319, 253)","(334, 239)","(355, 245)","(373, 244)","(338, 269)","(301, 292)","(314, 284)","(333, 300)","(350, 313)","(349, 338)","(323, 330)"
9,"(332, 215)","(305, 250)","(318, 251)","(335, 236)","(355, 237)","(375, 233)","(341, 265)","(300, 287)","(315, 279)","(334, 296)","(349, 312)","(350, 334)","(324, 325)"
10,"(330, 211)","(306, 249)","(319, 250)","(333, 232)","(351, 231)","(374, 227)","(340, 261)","(300, 284)","(315, 277)","(334, 294)","(349, 309)","(350, 332)","(324, 323)"
11,"(329, 208)","(304, 247)","(319, 246)","(331, 230)","(352, 227)","(372, 216)","(340, 257)","(299, 274)","(315, 274)","(335, 292)","(347, 306)","(352, 330)","(323, 320)"
12,"(330, 205)","(304, 246)","(319, 245)","(331, 227)","(353, 223)","(370, 210)","(338, 253)","(300, 271)","(315, 272)","(334, 291)","(348, 305)","(350, 327)","(324, 317)"
13,"(329, 203)","(306, 245)","(319, 241)","(332, 224)","(352, 219)","(369, 204)","(337, 249)","(297, 262)","(315, 268)","(334, 286)","(349, 300)","(352, 325)","(323, 316)"
14,"(329, 198)","(306, 246)","(319, 237)","(329, 219)","(349, 216)","(368, 199)","(339, 246)","(298, 266)","(315, 266)","(335, 283)","(348, 298)","(352, 322)","(325, 313)"
15,"(328, 193)","(308, 243)","(318, 231)","(329, 213)","(348, 211)","(367, 197)","(338, 241)","(300, 265)","(316, 264)","(336, 276)","(351, 291)","(352, 314)","(326, 307)"
16,"(329, 188)","(309, 241)","(317, 228)","(331, 211)","(351, 208)","(367, 195)","(336, 237)","(300, 265)","(316, 263)","(338, 271)","(354, 283)","(352, 300)","(327, 305)"
17,"(328, 184)","(307, 239)","(316, 226)","(330, 207)","(350, 206)","(368, 196)","(334, 234)","(299, 265)","(317, 260)","(335, 269)","(353, 278)","(353, 296)","(331, 297)"
18,"(329, 180)","(305, 236)","(316, 221)","(327, 202)","(349, 204)","(368, 195)","(336, 231)","(300, 265)","(316, 258)","(338, 263)","(355, 272)","(353, 291)","(332, 295)"
19,"(329, 176)","(300, 227)","(316, 216)","(327, 198)","(348, 204)","(368, 194)","(331, 227)","(300, 266)","(315, 257)","(339, 259)","(357, 263)","(351, 276)","(334, 291)"
20,"(329, 173)","(300, 218)","(312, 211)","(329, 197)","(348, 204)","(367, 193)","(330, 224)","(300, 266)","(315, 258)","(336, 258)","(357, 259)","(353, 272)","(335, 288)"
21,"(330, 169)","(297, 205)","(311, 207)","(329, 192)","(348, 202)","(368, 191)","(329, 220)","(300, 266)","(315, 261)","(336, 254)","(358, 251)","(356, 263)","(337, 281)"
22,"(332, 164)","(296, 197)","(310, 199)","(328, 187)","(348, 200)","(368, 190)","(328, 215)","(300, 265)","(315, 260)","(336, 250)","(356, 246)","(356, 259)","(338, 279)"
23,"(333, 161)","(298, 189)","(311, 196)","(330, 183)","(349, 196)","(368, 190)","(326, 213)","(300, 265)","(316, 256)","(336, 246)","(359, 241)","(358, 256)","(339, 276)"
24,"(334, 157)","(299, 181)","(310, 187)","(331, 179)","(348, 195)","(366, 192)","(325, 208)","(301, 264)","(317, 254)","(338, 241)","(357, 236)","(363, 253)","(341, 272)"
25,"(336, 153)","(301, 174)","(314, 179)","(333, 175)","(349, 193)","(363, 191)","(327, 204)","(301, 261)","(316, 254)","(337, 234)","(359, 228)","(368, 246)","(344, 265)"
26,"(338, 148)","(301, 163)","(316, 174)","(335, 171)","(349, 190)","(362, 192)","(328, 199)","(302, 260)","(317, 250)","(337, 232)","(356, 221)","(371, 238)","(342, 262)"
27,"(338, 148)","(301, 163)","(316, 174)","(335, 170)","(348, 190)","(362, 193)","(327, 199)","(302, 260)","(317, 250)","(337, 233)","(356, 221)","(371, 238)","(343, 263)"
28,"(339, 144)","(304, 148)","(317, 163)","(336, 167)","(347, 191)","(361, 194)","(327, 195)","(304, 259)","(318, 248)","(335, 231)","(353, 214)","(372, 223)","(341, 258)"
29,"(340, 140)","(306, 142)","(320, 156)","(338, 164)","(345, 188)","(363, 191)","(328, 192)","(308, 256)","(320, 245)","(334, 227)","(354, 212)","(372, 213)","(343, 255)"
30,"(342, 137)","(308, 135)","(321, 151)","(341, 160)","(346, 184)","(364, 190)","(330, 188)","(311, 255)","(320, 241)","(334, 224)","(354, 207)","(372, 207)","(345, 248)"
31,"(343, 134)","(311, 130)","(322, 148)","(340, 156)","(346, 180)","(364, 189)","(332, 184)","(312, 251)","(319, 237)","(336, 219)","(355, 204)","(375, 204)","(345, 245)"
32,"(344, 127)","(314, 126)","(324, 144)","(342, 152)","(349, 176)","(365, 190)","(335, 181)","(313, 245)","(318, 228)","(336, 214)","(353, 200)","(374, 201)","(343, 240)"
33,"(344, 124)","(312, 125)","(324, 139)","(343, 149)","(351, 174)","(365, 189)","(334, 178)","(313, 241)","(316, 222)","(337, 212)","(353, 198)","(373, 201)","(343, 233)"
34,"(346, 119)","(312, 125)","(324, 137)","(345, 143)","(354, 170)","(364, 181)","(336, 172)","(315, 238)","(317, 216)","(337, 208)","(356, 195)","(371, 201)","(341, 231)"
35,"(345, 115)","(312, 125)","(323, 138)","(344, 139)","(355, 165)","(361, 179)","(338, 168)","(316, 233)","(317, 212)","(338, 202)","(357, 195)","(371, 203)","(341, 228)"
36,"(344, 109)","(312, 125)","(323, 138)","(345, 137)","(357, 158)","(362, 178)","(339, 166)","(315, 230)","(318, 209)","(337, 201)","(358, 193)","(370, 197)","(339, 228)"
37,"(345, 108)","(313, 125)","(324, 137)","(345, 132)","(357, 153)","(362, 174)","(341, 163)","(314, 225)","(318, 202)","(340, 194)","(359, 192)","(369, 198)","(338, 225)"
38,"(344, 104)","(312, 125)","(325, 135)","(347, 129)","(358, 146)","(368, 155)","(342, 160)","(314, 219)","(319, 196)","(339, 192)","(360, 191)","(368, 199)","(337, 223)"
39,"(342, 96)","(312, 125)","(326, 132)","(344, 122)","(359, 138)","(373, 143)","(343, 155)","(312, 210)","(318, 190)","(340, 185)","(360, 190)","(370, 201)","(338, 214)"
40,"(341, 93)","(312, 125)","(327, 131)","(343, 119)","(359, 129)","(374, 135)","(346, 150)","(306, 196)","(318, 181)","(342, 181)","(358, 188)","(369, 201)","(336, 211)"
41,"(341, 90)","(312, 125)","(327, 131)","(344, 116)","(360, 124)","(378, 123)","(346, 144)","(300, 184)","(318, 174)","(342, 178)","(359, 187)","(367, 199)","(336, 204)"
42,"(341, 86)","(312, 126)","(327, 130)","(343, 112)","(360, 116)","(377, 112)","(348, 139)","(300, 175)","(320, 165)","(343, 174)","(359, 185)","(367, 198)","(335, 199)"
43,"(339, 81)","(312, 126)","(327, 128)","(342, 106)","(362, 109)","(379, 101)","(347, 134)","(299, 167)","(321, 158)","(344, 169)","(361, 184)","(367, 199)","(336, 194)"
44,"(339, 79)","(312, 125)","(327, 125)","(341, 103)","(359, 104)","(375, 90)","(346, 131)","(301, 158)","(321, 152)","(346, 164)","(360, 181)","(367, 198)","(337, 188)"
45,"(338, 74)","(311, 124)","(326, 119)","(340, 98)","(359, 99)","(368, 82)","(346, 126)","(301, 150)","(322, 147)","(344, 161)","(359, 179)","(367, 197)","(340, 179)"
46,"(337, 70)","(312, 120)","(326, 116)","(339, 93)","(358, 94)","(371, 77)","(346, 122)","(301, 138)","(322, 141)","(343, 157)","(358, 172)","(368, 193)","(337, 182)"
47,"(336, 66)","(312, 119)","(326, 112)","(339, 90)","(357, 88)","(371, 75)","(346, 118)","(301, 136)","(323, 138)","(343, 153)","(359, 168)","(368, 190)","(338, 179)"
48,"(337, 62)","(312, 116)","(325, 104)","(339, 84)","(359, 85)","(373, 74)","(348, 115)","(304, 134)","(323, 135)","(345, 149)","(362, 164)","(370, 186)","(339, 176)"
49,"(337, 58)","(315, 114)","(325, 100)","(336, 80)","(358, 82)","(373, 73)","(344, 109)","(307, 132)","(324, 132)","(344, 147)","(364, 159)","(365, 178)","(342, 172)"
50,"(336, 54)","(316, 112)","(323, 98)","(337, 76)","(357, 78)","(372, 73)","(342, 106)","(308, 133)","(323, 129)","(346, 143)","(362, 154)","(366, 173)","(344, 164)"
