Frame,A,B,C,D,E,F,G,H,I,J,K,L,M
0,"(1, 21)","(-31, 13)","(-21, -3)","(0, 0)","(10, -17)","(15, -35)","(-5, -28)","(-40, -76)","(-33, -63)","(-13, -64)","(12, -59)","(15, -80)","(-12, -91)"
1,"(1, 24)","(-30, 12)","(-20, -1)","(2, 1)","(12, -14)","(16, -28)","(-5, -27)","(-39, -71)","(-32, -59)","(-11, -61)","(13, -60)","(15, -80)","(-13, -88)"
2,"(2, 23)","(-31, 11)","(-19, -1)","(2, 1)","(12, -14)","(15, -29)","(-5, -26)","(-39, -71)","(-32, -59)","(-11, -61)","(13, -59)","(15, -80)","(-13, -88)"
3,"(1, 25)","(-31, 12)","(-18, 1)","(0, 5)","(13, -11)","(21, -26)","(-4, -25)","(-36, -68)","(-30, -55)","(-9, -58)","(13, -59)","(15, -81)","(-14, -86)"
4,"(-1, 32)","(-30, 14)","(-17, 3)","(0, 11)","(12, -1)","(25, -10)","(-3, -23)","(-33, -65)","(-28, -48)","(-7, -54)","(12, -58)","(15, -81)","(-15, -83)"
5,"(-2, 34)","(-29, 14)","(-16, 4)","(0, 13)","(13, 4)","(29, -7)","(-1, -20)","(-32, -63)","(-28, -45)","(-6, -52)","(13, -56)","(15, -81)","(-14, -81)"
6,"(-2, 38)","(-29, 16)","(-17, 7)","(0, 17)","(15, 8)","(33, 3)","(3, -16)","(-31, -58)","(-26, -41)","(-7, -49)","(13, -54)","(15, -79)","(-13, -76)"
7,"(-3, 41)","(-30, 15)","(-17, 8)","(-1, 20)","(17, 15)","(34, 10)","(3, -13)","(-32, -53)","(-24, -40)","(-5, -44)","(13, -52)","(14, -77)","(-13, -74)"
8,"(-5, 45)","(-30, 13)","(-17, 10)","(-2, 24)","(19, 18)","(37, 19)","(2, -6)","(-35, -29)","(-22, -21)","(-3, -37)","(14, -50)","(13, -75)","(-13, -67)"
9,"(-4, 48)","(-31, 13)","(-18, 12)","(-1, 27)","(19, 26)","(39, 30)","(5, -2)","(-36, -24)","(-21, -16)","(-2, -33)","(13, -49)","(14, -71)","(-12, -62)"
10,"(-6, 52)","(-30, 14)","(-17, 13)","(-3, 31)","(15, 32)","(38, 36)","(4, 2)","(-36, -21)","(-21, -14)","(-2, -31)","(13, -46)","(14, -69)","(-12, -60)"
11,"(-7, 55)","(-32, 16)","(-17, 17)","(-5, 33)","(16, 36)","(36, 47)","(4, 6)","(-37, -11)","(-21, -11)","(-1, -29)","(11, -43)","(16, -67)","(-13, -57)"
12,"(-6, 58)","(-32, 17)","(-17, 18)","(-5, 36)","(17, 40)","(34, 53)","(2, 10)","(-36, -8)","(-21, -9)","(-2, -28)","(12, -42)","(14, -64)","(-12, -54)"
13,"(-7, 60)","(-30, 18)","(-17, 22)","(-4, 39)","(16, 44)","(33, 59)","(1, 14)","(-39, 1)","(-21, -5)","(-2, -23)","(13, -37)","(16, -62)","(-13, -53)"
14,"(-7, 65)","(-30, 17)","(-17, 26)","(-7, 44)","(13, 47)","(32, 64)","(3, 17)","(-38, -3)","(-21, -3)","(-1, -20)","(12, -35)","(16, -59)","(-11, -50)"
15,"(-8, 70)","(-28, 20)","(-18, 32)","(-7, 50)","(12, 52)","(31, 66)","(2, 22)","(-36, -2)","(-20, -1)","(0, -13)","(15, -28)","(16, -51)","(-10, -44)"
16,"(-7, 75)","(-27, 22)","(-19, 35)","(-5, 52)","(15, 55)","(31, 68)","(0, 26)","(-36, -2)","(-20, 0)","(2, -8)","(18, -20)","(16, -37)","(-9, -42)"
17,"(-8, 79)","(-29, 24)","(-20, 37)","(-6, 56)","(14, 57)","(32, 67)","(-2, 29)","(-37, -2)","(-19, 3)","(-1, -6)","(17, -15)","(17, -33)","(-5, -34)"
