Frame,left_front,head,right_front,middle,left_hind,rear,right_hind
0,"(-21, -3)","(0, 0)","(10, -17)","(-5, -28)","(-33, -63)","(-13, -64)","(12, -59)"
1,"(-20, -1)","(2, 1)","(12, -14)","(-5, -27)","(-32, -59)","(-11, -61)","(13, -60)"
2,"(-19, -1)","(2, 1)","(12, -14)","(-5, -26)","(-32, -59)","(-11, -61)","(13, -59)"
3,"(-18, 1)","(0, 5)","(13, -11)","(-4, -25)","(-30, -55)","(-9, -58)","(13, -59)"
4,"(-17, 3)","(0, 11)","(12, -1)","(-3, -23)","(-28, -48)","(-7, -54)","(12, -58)"
5,"(-16, 4)","(0, 13)","(13, 4)","(-1, -20)","(-28, -45)","(-6, -52)","(13, -56)"
6,"(-17, 7)","(0, 17)","(15, 8)","(3, -16)","(-26, -41)","(-7, -49)","(13, -54)"
7,"(-17, 8)","(-1, 20)","(17, 15)","(3, -13)","(-24, -40)","(-5, -44)","(13, -52)"
8,"(-17, 10)","(-2, 24)","(19, 18)","(2, -6)","(-22, -21)","(-3, -37)","(14, -50)"
9,"(-18, 12)","(-1, 27)","(19, 26)","(5, -2)","(-21, -16)","(-2, -33)","(13, -49)"
10,"(-17, 13)","(-3, 31)","(15, 32)","(4, 2)","(-21, -14)","(-2, -31)","(13, -46)"
11,"(-17, 17)","(-5, 33)","(16, 36)","(4, 6)","(-21, -11)","(-1, -29)","(11, -43)"
12,"(-17, 18)","(-5, 36)","(17, 40)","(2, 10)","(-21, -9)","(-2, -28)","(12, -42)"
13,"(-17, 22)","(-4, 39)","(16, 44)","(1, 14)","(-21, -5)","(-2, -23)","(13, -37)"
14,"(-17, 26)","(-7, 44)","(13, 47)","(3, 17)","(-21, -3)","(-1, -20)","(12, -35)"
15,"(-18, 32)","(-7, 50)","(12, 52)","(2, 22)","(-20, -1)","(0, -13)","(15, -28)"
16,"(-19, 35)","(-5, 52)","(15, 55)","(0, 26)","(-20, 0)","(2, -8)","(18, -20)"
17,"(-20, 37)","(-6, 56)","(14, 57)","(-2, 29)","(-19, 3)","(-1, -6)","(17, -15)"
18,"(-20, 42)","(-9, 61)","(13, 59)","(0, 32)","(-20, 5)","(2, 0)","(19, -9)"
19,"(-20, 47)","(-9, 65)","(12, 59)","(-5, 36)","(-21, 6)","(3, 4)","(21, 0)"
20,"(-24, 52)","(-7, 66)","(12, 59)","(-6, 39)","(-21, 5)","(0, 5)","(21, 4)"
21,"(-25, 56)","(-7, 71)","(12, 61)","(-7, 43)","(-21, 2)","(0, 9)","(22, 12)"
22,"(-26, 64)","(-8, 76)","(12, 63)","(-8, 48)","(-21, 3)","(0, 13)","(20, 17)"
23,"(-25, 67)","(-6, 80)","(13, 67)","(-10, 50)","(-20, 7)","(0, 17)","(23, 22)"
24,"(-26, 76)","(-5, 84)","(12, 68)","(-11, 55)","(-19, 9)","(2, 22)","(21, 27)"
25,"(-22, 84)","(-3, 88)","(13, 70)","(-9, 59)","(-20, 9)","(1, 29)","(23, 35)"
26,"(-20, 89)","(-1, 92)","(13, 73)","(-8, 64)","(-19, 13)","(1, 31)","(20, 42)"
27,"(-20, 89)","(-1, 93)","(12, 73)","(-9, 64)","(-19, 13)","(1, 30)","(20, 42)"
28,"(-19, 100)","(0, 96)","(11, 72)","(-9, 68)","(-18, 15)","(-1, 32)","(17, 49)"
29,"(-16, 107)","(2, 99)","(9, 75)","(-8, 71)","(-16, 18)","(-2, 36)","(18, 51)"
30,"(-15, 112)","(5, 103)","(10, 79)","(-6, 75)","(-16, 22)","(-2, 39)","(18, 56)"
31,"(-14, 115)","(4, 107)","(10, 83)","(-4, 79)","(-17, 26)","(0, 44)","(19, 59)"
32,"(-12, 119)","(6, 111)","(13, 87)","(-1, 82)","(-18, 35)","(0, 49)","(17, 63)"
33,"(-12, 124)","(7, 114)","(15, 89)","(-2, 85)","(-20, 41)","(1, 51)","(17, 65)"
34,"(-12, 126)","(9, 120)","(18, 93)","(0, 91)","(-19, 47)","(1, 55)","(20, 68)"
35,"(-13, 125)","(8, 124)","(19, 98)","(2, 95)","(-19, 51)","(2, 61)","(21, 68)"
36,"(-13, 125)","(9, 126)","(21, 105)","(3, 97)","(-18, 54)","(1, 62)","(22, 70)"
37,"(-12, 126)","(9, 131)","(21, 110)","(5, 100)","(-18, 61)","(4, 69)","(23, 71)"
38,"(-11, 128)","(11, 134)","(22, 117)","(6, 103)","(-17, 67)","(3, 71)","(24, 72)"
39,"(-10, 131)","(8, 141)","(23, 125)","(7, 108)","(-18, 73)","(4, 78)","(24, 73)"
40,"(-9, 132)","(7, 144)","(23, 134)","(10, 113)","(-18, 82)","(6, 82)","(22, 75)"
41,"(-9, 132)","(8, 147)","(24, 139)","(10, 119)","(-18, 89)","(6, 85)","(23, 76)"
42,"(-9, 133)","(7, 151)","(24, 147)","(12, 124)","(-16, 98)","(7, 89)","(23, 78)"
43,"(-9, 135)","(6, 157)","(26, 154)","(11, 129)","(-15, 105)","(8, 94)","(25, 79)"
44,"(-9, 138)","(5, 160)","(23, 159)","(10, 132)","(-15, 111)","(10, 99)","(24, 82)"
45,"(-10, 144)","(4, 165)","(23, 164)","(10, 137)","(-14, 116)","(8, 102)","(23, 84)"
46,"(-10, 147)","(3, 170)","(22, 169)","(10, 141)","(-14, 122)","(7, 106)","(22, 91)"
47,"(-10, 151)","(3, 173)","(21, 175)","(10, 145)","(-13, 125)","(7, 110)","(23, 95)"
48,"(-11, 159)","(3, 179)","(23, 178)","(12, 148)","(-13, 128)","(9, 114)","(26, 99)"
49,"(-11, 163)","(0, 183)","(22, 181)","(8, 154)","(-12, 131)","(8, 116)","(28, 104)"
50,"(-13, 165)","(1, 187)","(21, 185)","(6, 157)","(-13, 134)","(10, 120)","(26, 109)"
51,"(-13, 170)","(0, 189)","(20, 187)","(8, 159)","(-13, 137)","(11, 127)","(29, 115)"
52,"(-13, 170)","(1, 189)","(20, 187)","(9, 160)","(-13, 137)","(11, 127)","(29, 115)"
53,"(-15, 176)","(0, 193)","(17, 189)","(6, 166)","(-12, 141)","(9, 130)","(27, 125)"
54,"(-15, 181)","(-3, 197)","(16, 190)","(5, 168)","(-11, 142)","(10, 135)","(29, 131)"
55,"(-17, 186)","(-3, 200)","(16, 191)","(6, 171)","(-11, 141)","(12, 139)","(31, 136)"
56,"(-19, 190)","(-1, 203)","(16, 192)","(3, 175)","(-12, 140)","(10, 145)","(31, 144)"
57,"(-18, 197)","(0, 208)","(15, 193)","(0, 180)","(-12, 139)","(11, 149)","(32, 152)"
58,"(-19, 206)","(1, 212)","(13, 197)","(-1, 184)","(-11, 139)","(12, 153)","(30, 158)"
59,"(-19, 214)","(2, 217)","(12, 199)","(-3, 189)","(-11, 141)","(10, 158)","(31, 163)"
60,"(-19, 222)","(4, 220)","(12, 199)","(-3, 193)","(-11, 144)","(8, 163)","(30, 172)"
61,"(-17, 228)","(4, 223)","(11, 202)","(-2, 195)","(-11, 146)","(9, 165)","(30, 175)"
62,"(-16, 232)","(4, 226)","(9, 207)","(-4, 199)","(-11, 152)","(7, 167)","(30, 179)"
63,"(-17, 237)","(4, 229)","(9, 211)","(-2, 202)","(-11, 153)","(6, 170)","(30, 182)"
64,"(-17.0, 231.5)","(4.0, 229.0)","(11.5, 211.5)","(-1.5, 201.5)","(-20.0, 159.5)","(-1.5, 167.5)","(23.0, 176.0)"
65,"(-17, 226)","(4, 229)","(14, 212)","(-1, 201)","(-29, 166)","(-9, 165)","(16, 170)"
66,"(-16, 228)","(6, 230)","(16, 215)","(-1, 202)","(-28, 170)","(-7, 168)","(17, 169)"
