Frame,A,B,C,D,E,F,G,H,I,J,K,L,M
0,"(337, 242)","(305, 250)","(315, 266)","(336, 263)","(346, 280)","(351, 298)","(331, 291)","(296, 339)","(303, 326)","(323, 327)","(348, 322)","(351, 343)","(324, 354)"
1,"(337, 239)","(306, 251)","(316, 264)","(338, 262)","(348, 277)","(352, 291)","(331, 290)","(297, 334)","(304, 322)","(325, 324)","(349, 323)","(351, 343)","(323, 351)"
2,"(338, 240)","(305, 252)","(317, 264)","(338, 262)","(348, 277)","(351, 292)","(331, 289)","(297, 334)","(304, 322)","(325, 324)","(349, 322)","(351, 343)","(323, 351)"
3,"(337, 238)","(305, 251)","(318, 262)","(336, 258)","(349, 274)","(357, 289)","(332, 288)","(300, 331)","(306, 318)","(327, 321)","(349, 322)","(351, 344)","(322, 349)"
4,"(335, 231)","(306, 249)","(319, 260)","(336, 252)","(348, 264)","(361, 273)","(333, 286)","(303, 328)","(308, 311)","(329, 317)","(348, 321)","(351, 344)","(321, 346)"
5,"(334, 229)","(307, 249)","(320, 259)","(336, 250)","(349, 259)","(365, 270)","(335, 283)","(304, 326)","(308, 308)","(330, 315)","(349, 319)","(351, 344)","(322, 344)"
6,"(334, 225)","(307, 247)","(319, 256)","(336, 246)","(351, 255)","(369, 260)","(339, 279)","(305, 321)","(310, 304)","(329, 312)","(349, 317)","(351, 342)","(323, 339)"
7,"(333, 222)","(306, 248)","(319, 255)","(335, 243)","(353, 248)","(370, 253)","(339, 276)","(304, 316)","(312, 303)","(331, 307)","(349, 315)","(350, 340)","(323, 337)"
8,"(331, 218)","(306, 250)","(319, 253)","(334, 239)","(355, 245)","(373, 244)","(338, 269)","(301, 292)","(314, 284)","(333, 300)","(350, 313)","(349, 338)","(323, 330)"
9,"(332, 215)","(305, 250)","(318, 251)","(335, 236)","(355, 237)","(375, 233)","(341, 265)","(300, 287)","(315, 279)","(334, 296)","(349, 312)","(350, 334)","(324, 325)"
10,"(330, 211)","(306, 249)","(319, 250)","(333, 232)","(351, 231)","(374, 227)","(340, 261)","(300, 284)","(315, 277)","(334, 294)","(349, 309)","(350, 332)","(324, 323)"
11,"(329, 208)","(304, 247)","(319, 246)","(331, 230)","(352, 227)","(372, 216)","(340, 257)","(299, 274)","(315, 274)","(335, 292)","(347, 306)","(352, 330)","(323, 320)"
12,"(330, 205)","(304, 246)","(319, 245)","(331, 227)","(353, 223)","(370, 210)","(338, 253)","(300, 271)","(315, 272)","(334, 291)","(348, 305)","(350, 327)","(324, 317)"
13,"(329, 203)","(306, 245)","(319, 241)","(332, 224)","(352, 219)","(369, 204)","(337, 249)","(297, 262)","(315, 268)","(334, 286)","(349, 300)","(352, 325)","(323, 316)"
14,"(329, 198)","(306, 246)","(319, 237)","(329, 219)","(349, 216)","(368, 199)","(339, 246)","(298, 266)","(315, 266)","(335, 283)","(348, 298)","(352, 322)","(325, 313)"
15,"(328, 193)","(308, 243)","(318, 231)","(329, 213)","(348, 211)","(367, 197)","(338, 241)","(300, 265)","(316, 264)","(336, 276)","(351, 291)","(352, 314)","(326, 307)"
