Frame,middle,rear,left_hind,left_front,head,right_hind,right_front
0,"(-8.0, -44.0)","(-18.0, -104.0)","(-62.0, -118.0)","(-46.0, 20.0)","(0.0, 0.0)","(20.0, -92.0)","(26.0, -54.0)"
1,"(-7.0, -42.0)","(-16.5, -105.0)","(-61.5, -114.0)","(-46.0, 20.0)","(3.0, 2.0)","(20.75, -95.62)","(24.0, -48.0)"
2,"(-6.0, -40.0)","(-15.0, -106.0)","(-61.0, -110.0)","(-46.0, 20.0)","(6.0, 4.0)","(21.5, -99.25)","(22.0, -42.0)"
3,"(-6.0, -39.0)","(-13.5, -100.0)","(-57.5, -109.0)","(-44.0, 20.5)","(4.0, 7.0)","(21.4, -95.65)","(28.5, -40.0)"
4,"(-6.0, -38.0)","(-12.0, -94.0)","(-54.0, -108.0)","(-42.0, 21.0)","(2.0, 10.0)","(21.3, -92.05)","(35.0, -38.0)"
5,"(-2.0, -34.0)","(-2.0, -90.0)","(-50.0, -102.0)","(-43.0, 25.0)","(5.0, 20.0)","(20.0, -90.0)","(36.33, -25.33)"
6,"(-1.0, -31.0)","(-2.0, -87.33)","(-47.0, -96.0)","(-44.0, 24.0)","(3.0, 22.0)","(22.0, -88.0)","(45.0, -8.0)"
7,"(1.5, -27.5)","(-2.0, -84.67)","(-47.5, -93.0)","(-45.0, 25.0)","(4.0, 25.5)","(22.11, -96.5)","(47.5, -1.0)"
8,"(4.0, -24.0)","(-2.0, -82.0)","(-48.0, -90.0)","(-46.0, 26.0)","(5.0, 29.0)","(22.22, -105.01)","(50.0, 6.0)"
9,"(6.0, -22.0)","(-10.0, -70.0)","(-48.0, -81.0)","(-48.0, 26.0)","(-2.0, 32.0)","(22.0, -122.0)","(50.0, 16.0)"
10,"(9.0, -8.0)","(-5.0, -62.0)","(-50.5, -62.83)","(-43.0, 23.0)","(0.0, 40.0)","(24.0, -116.0)","(58.0, 30.0)"
11,"(9.0, -2.0)","(0.0, -54.0)","(-54.0, -36.0)","(-46.0, 23.0)","(-4.0, 44.0)","(22.0, -112.0)","(60.0, 48.0)"
12,"(8.0, 4.0)","(2.0, -48.0)","(-52.0, -30.0)","(-46.0, 24.0)","(-2.0, 50.0)","(22.5, -105.83)","(58.0, 58.0)"
13,"(17.0, -1.0)","(0.5, -51.0)","(-52.0, -30.0)","(-49.5, 25.0)","(-4.0, 52.0)","(23.04, -105.74)","(58.0, 58.0)"
14,"(6.0, 10.0)","(-1.0, -54.0)","(-54.0, -16.0)","(-53.0, 26.0)","(-6.0, 54.0)","(23.58, -105.64)","(59.0, 76.0)"
15,"(5.0, 18.0)","(-1.0, -43.0)","(-58.0, -12.0)","(-49.0, 28.0)","(-6.0, 58.0)","(22.0, -100.0)","(54.0, 86.0)"
16,"(5.0, 24.0)","(-2.0, -46.0)","(-58.0, 4.0)","(-46.0, 30.0)","(-2.0, 64.0)","(26.0, -96.0)","(52.0, 94.0)"
17,"(5.0, 27.0)","(1.0, -32.0)","(-62.0, -4.0)","(-42.0, 30.0)","(-12.0, 70.0)","(25.6, -75.61)","(52.0, 102.0)"
18,"(5.0, 36.0)","(-2.0, -28.0)","(-56.0, -2.0)","(-40.0, 33.0)","(-12.0, 80.0)","(28.0, -48.0)","(48.0, 104.0)"
19,"(5.0, 36.0)","(-2.0, -28.0)","(-55.0, -2.0)","(-40.0, 33.0)","(-12.0, 80.0)","(28.0, -48.0)","(48.0, 104.0)"
20,"(3.0, 43.0)","(6.0, -16.0)","(-53.0, -2.0)","(-42.0, 36.0)","(-5.0, 84.0)","(30.0, -57.0)","(48.0, 108.0)"
21,"(-1.0, 47.0)","(-2.0, -18.0)","(-53.0, -2.0)","(-44.0, 41.0)","(-10.0, 88.0)","(26.0, -52.0)","(48.0, 108.0)"
22,"(0.0, 50.0)","(6.0, -4.0)","(-52.0, -2.0)","(-47.0, 44.0)","(-12.0, 98.0)","(32.67, -27.5)","(50.0, 108.0)"
23,"(-5.0, 57.0)","(6.0, 2.0)","(-58.0, -5.0)","(-56.0, 58.0)","(-14.0, 102.0)","(38.0, 0.0)","(52.0, 107.0)"
24,"(-11.0, 60.0)","(6.0, 8.0)","(-58.0, -5.0)","(-56.0, 72.0)","(-7.0, 106.0)","(36.0, 8.0)","(57.0, 110.0)"
25,"(-10.0, 60.0)","(6.0, 8.0)","(-58.0, -5.0)","(-56.0, 72.0)","(-7.0, 106.0)","(37.0, 8.0)","(48.0, 101.0)"
26,"(-10.0, 68.0)","(-1.0, 10.0)","(-49.0, -5.0)","(-57.83, 86.67)","(-10.0, 112.0)","(30.0, 0.0)","(51.0, 114.0)"
27,"(-10.0, 74.0)","(-1.0, 16.0)","(-54.0, -12.0)","(-60.0, 106.0)","(-12.0, 120.0)","(32.0, 17.0)","(50.0, 114.0)"
28,"(-16.0, 78.0)","(-1.0, 22.0)","(-49.0, -2.0)","(-58.0, 120.0)","(-8.0, 127.0)","(35.0, 14.0)","(56.0, 116.0)"
29,"(-16.0, 86.0)","(6.0, 38.0)","(-54.0, 0.0)","(-55.0, 132.0)","(-6.0, 133.0)","(38.0, 33.0)","(48.0, 114.0)"
30,"(-12.0, 94.0)","(4.0, 42.0)","(-50.0, 4.0)","(-54.0, 142.0)","(1.0, 140.0)","(38.17, 35.83)","(42.0, 112.0)"
31,"(-12.0, 94.0)","(6.0, 42.0)","(-50.0, 4.0)","(-54.0, 142.0)","(1.0, 140.0)","(38.19, 40.64)","(44.0, 112.0)"
32,"(-10.0, 100.0)","(6.0, 45.0)","(-52.0, 4.0)","(-50.0, 160.0)","(0.0, 146.0)","(38.73, 50.25)","(40.0, 110.0)"
33,"(-10.0, 100.0)","(6.0, 48.0)","(-50.0, 6.0)","(-49.0, 160.0)","(0.0, 146.0)","(32.0, 66.0)","(40.0, 110.0)"
34,"(-10.0, 106.0)","(6.0, 51.0)","(-48.0, 8.0)","(-48.5, 173.0)","(1.0, 150.0)","(42.32, 64.31)","(40.0, 110.0)"
35,"(-9.0, 113.0)","(6.0, 56.0)","(-42.0, 12.0)","(-46.0, 192.0)","(9.0, 158.0)","(44.01, 73.09)","(42.0, 114.0)"
36,"(-10.0, 118.0)","(3.33, 59.33)","(-36.0, 14.0)","(-42.0, 204.0)","(8.0, 162.0)","(50.05, 79.07)","(44.0, 112.0)"
37,"(-10.0, 118.0)","(0.67, 62.67)","(-38.0, 14.0)","(-42.0, 204.0)","(8.0, 162.0)","(60.0, 89.0)","(44.0, 112.0)"
38,"(-6.0, 124.0)","(-2.0, 66.0)","(-39.0, 18.0)","(-37.0, 209.0)","(13.0, 170.0)","(64.0, 94.0)","(46.0, 117.0)"
39,"(0.0, 130.0)","(1.0, 77.0)","(-36.0, 28.0)","(-36.0, 216.0)","(10.0, 176.0)","(60.0, 98.0)","(46.0, 116.0)"
40,"(-2.0, 134.0)","(4.0, 78.0)","(-35.0, 36.0)","(-35.0, 218.0)","(12.0, 180.0)","(60.0, 98.0)","(46.0, 116.0)"
41,"(0.0, 144.0)","(2.0, 86.0)","(-32.0, 40.0)","(-37.0, 218.0)","(18.0, 190.0)","(57.0, 98.0)","(43.0, 128.0)"
42,"(6.0, 149.0)","(2.0, 96.0)","(-30.0, 48.0)","(-33.0, 218.0)","(14.0, 194.0)","(56.0, 94.0)","(43.0, 134.0)"
43,"(6.0, 149.0)","(2.0, 96.0)","(-30.0, 48.0)","(-35.0, 218.0)","(14.0, 194.0)","(56.0, 94.0)","(43.0, 134.0)"
44,"(5.0, 152.0)","(4.0, 88.0)","(-33.0, 52.0)","(-34.0, 217.0)","(19.0, 200.0)","(52.0, 104.0)","(40.0, 136.0)"
45,"(12.0, 158.0)","(3.0, 102.0)","(-32.0, 60.0)","(-34.0, 217.0)","(17.0, 206.0)","(52.0, 102.0)","(43.0, 142.0)"
46,"(14.0, 163.0)","(6.0, 107.5)","(-34.0, 70.0)","(-34.0, 217.0)","(17.0, 210.0)","(44.0, 105.0)","(49.33, 161.17)"
47,"(14.0, 169.0)","(9.0, 113.0)","(-38.0, 84.0)","(-37.0, 218.0)","(14.0, 220.0)","(39.0, 106.0)","(60.0, 185.0)"
48,"(21.0, 178.0)","(9.0, 120.0)","(-41.33, 92.0)","(-36.0, 218.0)","(17.0, 228.0)","(50.0, 96.0)","(60.0, 198.0)"
49,"(21.0, 178.0)","(9.0, 120.0)","(-46.0, 106.0)","(-36.0, 218.0)","(16.0, 228.0)","(50.0, 96.0)","(60.0, 198.0)"
50,"(18.0, 188.0)","(10.42, 127.08)","(-54.0, 124.0)","(-35.0, 218.0)","(12.0, 232.0)","(48.0, 100.0)","(63.83, 215.17)"
51,"(20.0, 194.0)","(11.83, 134.17)","(-53.0, 138.0)","(-34.0, 217.0)","(12.0, 238.0)","(47.83, 102.83)","(63.81, 229.19)"
52,"(19.0, 202.0)","(12.42, 143.08)","(-56.0, 152.0)","(-34.0, 217.0)","(13.0, 248.0)","(49.14, 101.31)","(70.0, 254.0)"
53,"(18.0, 208.0)","(13.0, 152.0)","(-54.0, 164.0)","(-38.0, 217.0)","(8.0, 252.0)","(47.0, 102.0)","(62.0, 272.0)"
54,"(19.0, 216.0)","(20.0, 160.0)","(-52.0, 177.0)","(-36.0, 218.0)","(8.0, 260.0)","(50.0, 106.0)","(50.0, 282.0)"
55,"(19.0, 216.0)","(20.0, 160.0)","(-52.0, 177.0)","(-36.0, 218.0)","(8.0, 260.0)","(50.0, 106.0)","(50.0, 282.0)"
56,"(16.0, 220.0)","(12.0, 166.0)","(-56.0, 196.0)","(-34.0, 226.0)","(6.0, 268.0)","(50.0, 110.0)","(52.0, 292.0)"
57,"(16.0, 226.0)","(12.0, 172.0)","(-55.0, 200.0)","(-34.0, 228.0)","(4.0, 272.0)","(48.0, 115.0)","(62.0, 296.0)"
58,"(18.0, 232.0)","(16.0, 179.0)","(-45.0, 206.0)","(-34.0, 232.0)","(9.0, 282.0)","(51.0, 120.0)","(62.0, 298.0)"
59,"(14.0, 242.0)","(14.0, 182.0)","(-42.0, 206.0)","(-30.0, 236.0)","(2.0, 288.0)","(47.83, 131.83)","(62.0, 298.0)"
60,"(14.0, 246.0)","(17.0, 189.0)","(-44.0, 204.0)","(-30.0, 238.0)","(2.0, 294.0)","(46.0, 142.0)","(62.0, 298.0)"
61,"(14.0, 246.0)","(17.0, 189.0)","(-44.0, 204.0)","(-30.0, 238.0)","(2.0, 294.0)","(46.0, 142.0)","(62.0, 298.0)"
62,"(14.0, 250.0)","(16.0, 192.67)","(-42.0, 204.0)","(-28.0, 243.0)","(4.0, 298.0)","(45.0, 156.0)","(57.0, 298.0)"
63,"(14.0, 250.0)","(15.0, 196.33)","(-42.0, 204.0)","(-28.0, 243.0)","(4.0, 298.0)","(45.0, 156.0)","(57.0, 298.0)"
64,"(11.0, 260.0)","(14.0, 200.0)","(-40.0, 204.0)","(-36.0, 254.0)","(4.0, 304.0)","(46.0, 162.0)","(54.0, 302.0)"
65,"(11.0, 264.0)","(18.0, 208.0)","(-40.0, 204.0)","(-42.0, 270.0)","(-2.0, 309.0)","(48.67, 179.17)","(54.0, 302.0)"
66,"(12.0, 270.0)","(18.67, 212.67)","(-40.0, 204.0)","(-49.0, 280.0)","(1.0, 314.0)","(56.0, 212.0)","(48.0, 300.0)"
67,"(12.0, 270.0)","(19.33, 217.33)","(-40.0, 204.0)","(-46.0, 281.0)","(1.0, 314.0)","(51.94, 196.03)","(48.0, 300.0)"
68,"(9.0, 276.0)","(20.0, 222.0)","(-36.0, 204.0)","(-49.0, 290.0)","(0.0, 320.0)","(52.0, 200.0)","(46.0, 300.0)"
69,"(6.0, 280.0)","(24.0, 232.0)","(-35.0, 204.0)","(-50.5, 307.5)","(2.0, 326.0)","(55.99, 217.34)","(44.0, 296.0)"
70,"(-2.0, 288.0)","(17.0, 238.0)","(-36.0, 204.0)","(-54.0, 330.0)","(2.0, 332.0)","(60.0, 220.0)","(42.0, 294.0)"
71,"(-2.0, 296.0)","(20.0, 250.0)","(-36.0, 204.0)","(-50.58, 335.58)","(6.0, 340.0)","(62.0, 238.0)","(38.0, 294.0)"
72,"(-4.0, 302.0)","(16.0, 256.0)","(-38.0, 206.0)","(-49.0, 368.0)","(6.0, 344.0)","(70.0, 250.0)","(33.0, 292.0)"
73,"(-4.0, 302.0)","(16.0, 256.0)","(-38.0, 206.0)","(-49.0, 368.0)","(6.0, 344.0)","(70.0, 250.0)","(33.0, 292.0)"
74,"(0.0, 307.0)","(14.0, 254.0)","(-38.0, 208.0)","(-46.0, 380.0)","(11.0, 350.0)","(76.0, 264.0)","(26.0, 292.0)"
75,"(-6.0, 312.0)","(11.0, 262.0)","(-34.0, 210.0)","(-40.0, 389.0)","(11.0, 355.0)","(65.0, 269.5)","(26.0, 300.0)"
76,"(-4.0, 314.0)","(-2.0, 254.0)","(-38.0, 208.0)","(-38.0, 398.0)","(7.0, 358.0)","(64.0, 284.0)","(37.67, 300.33)"
77,"(0.0, 319.0)","(2.0, 256.0)","(-36.0, 218.0)","(-34.0, 405.0)","(12.0, 365.0)","(60.0, 287.0)","(48.0, 306.0)"
78,"(0.0, 324.0)","(6.0, 268.0)","(-35.0, 226.0)","(-34.0, 406.0)","(12.0, 370.0)","(59.0, 288.0)","(45.0, 306.0)"
79,"(0.0, 334.0)","(2.0, 274.0)","(-32.0, 230.0)","(-38.0, 406.0)","(19.0, 380.0)","(60.0, 288.0)","(42.0, 316.0)"
80,"(3.0, 338.0)","(3.0, 285.0)","(-28.0, 237.0)","(-33.0, 408.0)","(14.0, 384.0)","(53.17, 289.33)","(42.0, 322.0)"
81,"(3.0, 338.0)","(3.0, 285.0)","(-28.0, 237.0)","(-34.0, 408.0)","(14.0, 384.0)","(55.53, 289.22)","(42.0, 322.0)"
82,"(9.0, 342.0)","(2.0, 278.0)","(-32.0, 242.0)","(-38.0, 406.0)","(16.0, 388.0)","(52.0, 294.0)","(44.0, 326.0)"
83,"(12.0, 347.0)","(8.0, 294.0)","(-28.0, 250.0)","(-38.0, 406.0)","(18.0, 396.0)","(54.0, 292.0)","(44.0, 332.0)"
84,"(12.0, 352.0)","(5.0, 302.0)","(-34.0, 260.0)","(-38.0, 406.0)","(18.0, 400.0)","(44.0, 296.0)","(49.33, 351.67)"
85,"(13.0, 358.0)","(10.0, 306.0)","(-38.0, 272.0)","(-38.0, 408.0)","(14.0, 410.0)","(45.0, 296.0)","(56.0, 378.0)"
86,"(17.0, 366.0)","(14.0, 314.0)","(-41.33, 281.0)","(-34.0, 408.0)","(12.0, 416.0)","(53.0, 287.0)","(60.0, 390.0)"
87,"(17.0, 366.0)","(14.0, 314.0)","(-46.0, 296.0)","(-34.0, 408.0)","(12.0, 416.0)","(53.0, 287.0)","(60.0, 390.0)"
88,"(19.0, 378.0)","(12.0, 323.0)","(-56.0, 312.0)","(-34.0, 408.0)","(15.0, 422.0)","(51.0, 290.0)","(66.0, 408.0)"
89,"(20.0, 384.0)","(9.0, 324.0)","(-54.0, 326.0)","(-38.0, 406.0)","(14.0, 428.0)","(49.33, 292.5)","(66.0, 426.0)"
90,"(20.0, 391.0)","(10.0, 332.0)","(-53.0, 342.0)","(-36.0, 406.0)","(12.0, 436.0)","(48.0, 290.0)","(70.0, 442.0)"
91,"(19.0, 398.0)","(18.0, 345.0)","(-52.0, 354.0)","(-36.0, 406.0)","(12.0, 442.0)","(49.0, 292.0)","(60.33, 447.0)"
92,"(22.0, 404.0)","(18.0, 350.0)","(-56.0, 366.0)","(-37.0, 408.0)","(10.0, 450.0)","(48.0, 292.0)","(49.0, 472.0)"
93,"(22.0, 404.0)","(18.0, 350.0)","(-56.0, 366.0)","(-35.0, 408.0)","(10.0, 450.0)","(48.0, 292.0)","(49.0, 472.0)"
94,"(15.0, 408.0)","(14.0, 356.0)","(-56.0, 384.0)","(-34.0, 416.0)","(5.0, 456.0)","(50.0, 298.0)","(54.0, 482.0)"
95,"(16.0, 416.0)","(13.0, 362.0)","(-50.0, 390.0)","(-38.0, 416.0)","(5.0, 462.0)","(50.0, 306.0)","(58.0, 486.0)"
96,"(20.0, 422.0)","(20.0, 368.0)","(-50.0, 394.0)","(-31.0, 421.0)","(6.0, 470.0)","(56.0, 310.0)","(58.0, 488.0)"
97,"(12.0, 430.0)","(18.0, 368.0)","(-46.0, 394.0)","(-30.0, 426.0)","(0.0, 476.0)","(49.0, 321.0)","(58.0, 488.0)"
98,"(10.0, 435.0)","(17.0, 379.0)","(-42.0, 394.0)","(-34.0, 426.0)","(4.0, 484.0)","(49.0, 323.5)","(60.0, 490.0)"
99,"(10.0, 435.0)","(17.0, 379.0)","(-42.0, 394.0)","(-34.0, 426.0)","(4.0, 484.0)","(46.0, 330.0)","(60.0, 490.0)"
100,"(14.0, 440.0)","(22.0, 384.0)","(-40.0, 394.0)","(-30.0, 432.0)","(5.0, 487.0)","(47.0, 344.0)","(60.0, 490.0)"
101,"(14.0, 440.0)","(22.0, 384.0)","(-40.0, 394.0)","(-30.0, 432.0)","(5.0, 487.0)","(47.0, 344.0)","(58.0, 490.0)"
102,"(11.0, 449.0)","(19.0, 391.0)","(-38.0, 394.0)","(-34.0, 444.0)","(4.0, 493.0)","(47.0, 352.0)","(54.0, 490.0)"
103,"(8.0, 452.0)","(16.0, 398.0)","(-39.0, 394.0)","(-40.0, 459.0)","(-4.0, 498.0)","(50.17, 363.33)","(51.0, 490.0)"
104,"(12.0, 458.0)","(18.0, 402.67)","(-38.0, 394.0)","(-46.0, 471.0)","(-4.0, 502.0)","(54.0, 374.0)","(48.0, 490.0)"
105,"(12.0, 458.0)","(20.0, 407.33)","(-36.0, 394.0)","(-46.0, 471.0)","(-4.0, 502.0)","(54.0, 374.0)","(48.0, 490.0)"
106,"(10.0, 464.0)","(22.0, 412.0)","(-40.0, 392.0)","(-46.0, 480.0)","(0.0, 508.0)","(54.19, 393.39)","(44.0, 490.0)"
107,"(0.0, 470.0)","(20.0, 418.0)","(-38.0, 392.0)","(-50.5, 497.5)","(6.0, 516.0)","(56.0, 426.0)","(46.0, 486.0)"
108,"(0.0, 478.0)","(17.0, 428.0)","(-36.0, 393.0)","(-58.0, 520.0)","(6.0, 522.0)","(62.0, 410.0)","(42.0, 484.0)"
109,"(-2.0, 485.0)","(18.0, 434.0)","(-40.0, 392.0)","(-50.75, 525.58)","(4.0, 528.0)","(63.0, 428.0)","(40.0, 484.0)"
110,"(-1.0, 493.0)","(15.0, 445.0)","(-38.0, 396.0)","(-48.0, 558.0)","(6.0, 534.0)","(70.0, 440.0)","(34.0, 482.0)"
111,"(-1.0, 493.0)","(16.0, 440.0)","(-38.0, 396.0)","(-48.0, 558.0)","(6.0, 534.0)","(70.0, 440.0)","(34.0, 482.0)"
112,"(-2.0, 496.0)","(16.0, 448.0)","(-40.0, 396.0)","(-48.0, 568.0)","(6.0, 538.0)","(78.0, 454.0)","(27.0, 482.0)"
113,"(-4.0, 501.0)","(12.0, 446.0)","(-36.0, 400.0)","(-41.0, 578.0)","(8.0, 544.0)","(64.83, 459.33)","(26.0, 489.0)"
114,"(2.0, 508.0)","(9.0, 451.0)","(-36.0, 406.0)","(-36.0, 594.0)","(10.0, 554.0)","(60.0, 476.0)","(45.0, 495.0)"
115,"(-2.0, 512.0)","(6.0, 456.0)","(-33.0, 414.0)","(-36.0, 595.0)","(12.0, 558.0)","(60.0, 476.0)","(46.0, 496.0)"
116,"(0.0, 522.0)","(2.0, 464.0)","(-32.0, 418.0)","(-40.0, 594.0)","(19.0, 568.0)","(54.0, 476.0)","(43.0, 506.0)"
117,"(6.0, 527.0)","(8.0, 476.0)","(-27.0, 426.0)","(-40.0, 594.0)","(14.0, 572.0)","(49.0, 480.33)","(43.0, 512.0)"
118,"(6.0, 527.0)","(8.0, 476.0)","(-27.0, 426.0)","(-40.0, 594.0)","(14.0, 572.0)","(34.0, 486.0)","(43.0, 512.0)"
119,"(5.0, 530.0)","(5.5, 479.0)","(-30.0, 430.0)","(-34.0, 595.0)","(14.0, 576.0)","(52.0, 482.0)","(44.0, 514.0)"
120,"(13.0, 536.0)","(3.0, 482.0)","(-34.0, 438.0)","(-34.0, 595.0)","(17.0, 584.0)","(53.0, 480.0)","(43.0, 520.0)"
121,"(14.0, 541.0)","(4.0, 490.0)","(-34.0, 448.0)","(-38.0, 594.0)","(21.0, 589.0)","(52.0, 479.0)","(50.0, 539.83)"
122,"(14.0, 547.0)","(5.0, 496.0)","(-38.0, 460.0)","(-38.0, 596.0)","(14.0, 598.0)","(54.0, 475.0)","(60.0, 565.0)"
123,"(16.0, 554.0)","(12.0, 504.0)","(-42.0, 469.33)","(-38.0, 596.0)","(17.0, 606.0)","(52.0, 476.0)","(60.0, 578.0)"
124,"(16.0, 554.0)","(12.0, 504.0)","(-46.0, 484.0)","(-38.0, 596.0)","(17.0, 606.0)","(52.0, 476.0)","(60.0, 578.0)"
125,"(18.0, 566.0)","(12.0, 506.0)","(-54.0, 502.0)","(-38.0, 596.0)","(13.0, 610.0)","(48.0, 478.0)","(70.0, 594.0)"
126,"(20.0, 572.0)","(12.0, 508.0)","(-50.0, 516.0)","(-36.0, 595.0)","(12.0, 616.0)","(52.0, 480.0)","(70.0, 614.0)"
127,"(19.0, 580.0)","(11.0, 524.0)","(-56.0, 530.0)","(-34.0, 595.0)","(13.0, 626.0)","(52.0, 479.0)","(68.0, 631.0)"
128,"(19.0, 586.0)","(14.5, 531.0)","(-52.0, 542.0)","(-37.0, 595.0)","(8.0, 630.0)","(48.0, 480.0)","(62.67, 635.5)"
129,"(19.0, 594.0)","(18.0, 538.0)","(-56.0, 554.0)","(-38.0, 596.0)","(8.0, 638.0)","(48.0, 482.0)","(54.0, 662.0)"
130,"(19.0, 594.0)","(18.0, 538.0)","(-56.0, 554.0)","(-38.0, 596.0)","(8.0, 638.0)","(48.0, 482.0)","(54.0, 662.0)"
131,"(18.0, 598.0)","(12.0, 544.0)","(-53.17, 564.0)","(-34.0, 604.0)","(9.0, 646.0)","(50.0, 488.0)","(54.0, 670.0)"
132,"(19.0, 605.0)","(12.0, 550.0)","(-54.0, 578.0)","(-38.0, 604.0)","(4.0, 650.0)","(50.0, 492.0)","(56.0, 674.0)"
