Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
0.0,"(-8.00, -44.00)","(-18.00, -104.00)","(-46.00, 20.00)","(-62.00, -118.00)","(0.00, 0.00)","(20.00, -92.00)","(26.00, -54.00)"
0.25,"(-7.75, -43.50)","(-17.62, -104.25)","(-46.00, 20.00)","(-61.88, -117.00)","(0.75, 0.50)","(20.19, -92.91)","(25.50, -52.50)"
0.5,"(-7.50, -43.00)","(-17.25, -104.50)","(-46.00, 20.00)","(-61.75, -116.00)","(1.50, 1.00)","(20.38, -93.81)","(25.00, -51.00)"
0.75,"(-7.25, -42.50)","(-16.88, -104.75)","(-46.00, 20.00)","(-61.62, -115.00)","(2.25, 1.50)","(20.56, -94.72)","(24.50, -49.50)"
1.0,"(-7.00, -42.00)","(-16.50, -105.00)","(-46.00, 20.00)","(-61.50, -114.00)","(3.00, 2.00)","(20.75, -95.62)","(24.00, -48.00)"
1.25,"(-6.75, -41.50)","(-16.12, -105.25)","(-46.00, 20.00)","(-61.38, -113.00)","(3.75, 2.50)","(20.94, -96.53)","(23.50, -46.50)"
1.5,"(-6.50, -41.00)","(-15.75, -105.50)","(-46.00, 20.00)","(-61.25, -112.00)","(4.50, 3.00)","(21.12, -97.44)","(23.00, -45.00)"
1.75,"(-6.25, -40.50)","(-15.38, -105.75)","(-46.00, 20.00)","(-61.12, -111.00)","(5.25, 3.50)","(21.31, -98.34)","(22.50, -43.50)"
2.0,"(-6.00, -40.00)","(-15.00, -106.00)","(-46.00, 20.00)","(-61.00, -110.00)","(6.00, 4.00)","(21.50, -99.25)","(22.00, -42.00)"
2.25,"(-6.00, -39.75)","(-14.62, -104.50)","(-45.50, 20.12)","(-60.12, -109.75)","(5.50, 4.75)","(21.48, -98.35)","(23.62, -41.50)"
2.5,"(-6.00, -39.50)","(-14.25, -103.00)","(-45.00, 20.25)","(-59.25, -109.50)","(5.00, 5.50)","(21.45, -97.45)","(25.25, -41.00)"
2.75,"(-6.00, -39.25)","(-13.88, -101.50)","(-44.50, 20.38)","(-58.38, -109.25)","(4.50, 6.25)","(21.42, -96.55)","(26.88, -40.50)"
3.0,"(-6.00, -39.00)","(-13.50, -100.00)","(-44.00, 20.50)","(-57.50, -109.00)","(4.00, 7.00)","(21.40, -95.65)","(28.50, -40.00)"
3.25,"(-6.00, -38.75)","(-13.12, -98.50)","(-43.50, 20.62)","(-56.62, -108.75)","(3.50, 7.75)","(21.38, -94.75)","(30.12, -39.50)"
3.5,"(-6.00, -38.50)","(-12.75, -97.00)","(-43.00, 20.75)","(-55.75, -108.50)","(3.00, 8.50)","(21.35, -93.85)","(31.75, -39.00)"
3.75,"(-6.00, -38.25)","(-12.38, -95.50)","(-42.50, 20.88)","(-54.88, -108.25)","(2.50, 9.25)","(21.32, -92.95)","(33.38, -38.50)"
4.0,"(-6.00, -38.00)","(-12.00, -94.00)","(-42.00, 21.00)","(-54.00, -108.00)","(2.00, 10.00)","(21.30, -92.05)","(35.00, -38.00)"
4.25,"(-5.00, -37.00)","(-9.50, -93.00)","(-42.25, 22.00)","(-53.00, -106.50)","(2.75, 12.50)","(20.98, -91.54)","(35.33, -34.83)"
4.5,"(-4.00, -36.00)","(-7.00, -92.00)","(-42.50, 23.00)","(-52.00, -105.00)","(3.50, 15.00)","(20.65, -91.03)","(35.66, -31.66)"
4.75,"(-3.00, -35.00)","(-4.50, -91.00)","(-42.75, 24.00)","(-51.00, -103.50)","(4.25, 17.50)","(20.32, -90.51)","(36.00, -28.50)"
5.0,"(-2.00, -34.00)","(-2.00, -90.00)","(-43.00, 25.00)","(-50.00, -102.00)","(5.00, 20.00)","(20.00, -90.00)","(36.33, -25.33)"
5.25,"(-1.75, -33.25)","(-2.00, -89.33)","(-43.25, 24.75)","(-49.25, -100.50)","(4.50, 20.50)","(20.50, -89.50)","(38.50, -21.00)"
5.5,"(-1.50, -32.50)","(-2.00, -88.66)","(-43.50, 24.50)","(-48.50, -99.00)","(4.00, 21.00)","(21.00, -89.00)","(40.66, -16.66)"
5.75,"(-1.25, -31.75)","(-2.00, -88.00)","(-43.75, 24.25)","(-47.75, -97.50)","(3.50, 21.50)","(21.50, -88.50)","(42.83, -12.33)"
6.0,"(-1.00, -31.00)","(-2.00, -87.33)","(-44.00, 24.00)","(-47.00, -96.00)","(3.00, 22.00)","(22.00, -88.00)","(45.00, -8.00)"
6.25,"(-0.38, -30.12)","(-2.00, -86.66)","(-44.25, 24.25)","(-47.12, -95.25)","(3.25, 22.88)","(22.03, -90.12)","(45.62, -6.25)"
6.5,"(0.25, -29.25)","(-2.00, -86.00)","(-44.50, 24.50)","(-47.25, -94.50)","(3.50, 23.75)","(22.05, -92.25)","(46.25, -4.50)"
6.75,"(0.88, -28.38)","(-2.00, -85.34)","(-44.75, 24.75)","(-47.38, -93.75)","(3.75, 24.62)","(22.08, -94.38)","(46.88, -2.75)"
7.0,"(1.50, -27.50)","(-2.00, -84.67)","(-45.00, 25.00)","(-47.50, -93.00)","(4.00, 25.50)","(22.11, -96.50)","(47.50, -1.00)"
7.25,"(2.12, -26.62)","(-2.00, -84.00)","(-45.25, 25.25)","(-47.62, -92.25)","(4.25, 26.38)","(22.14, -98.63)","(48.12, 0.75)"
7.5,"(2.75, -25.75)","(-2.00, -83.34)","(-45.50, 25.50)","(-47.75, -91.50)","(4.50, 27.25)","(22.16, -100.75)","(48.75, 2.50)"
7.75,"(3.38, -24.88)","(-2.00, -82.67)","(-45.75, 25.75)","(-47.88, -90.75)","(4.75, 28.12)","(22.19, -102.88)","(49.38, 4.25)"
