Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
0.0,"(-8.00, -44.00)","(-18.00, -104.00)","(-46.00, 20.00)","(-62.00, -118.00)","(-0.00, 0.00)","(20.00, -92.00)","(26.00, -54.00)"
0.2514851485148515,"(-6.66, -44.21)","(-18.07, -103.59)","(-44.44, 16.66)","(-62.99, -113.96)","(0.93, -0.01)","(15.25, -91.66)","(29.18, -52.89)"
0.502970297029703,"(-6.21, -43.93)","(-17.66, -103.44)","(-44.16, 16.03)","(-62.98, -112.59)","(1.54, 0.39)","(14.50, -92.25)","(29.36, -51.49)"
0.7544554455445545,"(-6.46, -43.13)","(-17.06, -103.94)","(-44.88, 17.57)","(-62.32, -113.03)","(2.17, 1.14)","(16.96, -93.71)","(27.17, -49.83)"
1.005940594059406,"(-7.00, -41.99)","(-16.50, -104.99)","(-46.00, 20.01)","(-61.50, -113.99)","(3.00, 2.01)","(20.75, -95.61)","(24.00, -47.99)"
1.2574257425742574,"(-7.39, -40.87)","(-16.06, -106.17)","(-46.88, 21.93)","(-60.90, -114.36)","(4.03, 2.78)","(23.85, -97.41)","(21.32, -46.12)"
1.508910891089109,"(-7.32, -40.10)","(-15.73, -106.91)","(-47.14, 22.48)","(-60.70, -113.59)","(5.03, 3.34)","(24.93, -98.68)","(20.10, -44.39)"
1.7603960396039604,"(-6.78, -39.83)","(-15.39, -106.85)","(-46.74, 21.61)","(-60.82, -111.90)","(5.76, 3.71)","(23.84, -99.25)","(20.50, -42.98)"
2.011881188118812,"(-5.98, -39.97)","(-14.98, -105.97)","(-45.98, 20.03)","(-60.98, -109.97)","(6.02, 4.03)","(21.52, -99.22)","(22.02, -41.97)"
2.2633663366336636,"(-5.13, -40.01)","(-14.32, -104.34)","(-45.03, 18.91)","(-60.67, -108.34)","(5.99, 4.69)","(19.57, -98.54)","(24.10, -41.11)"
2.514851485148515,"(-4.81, -39.93)","(-13.78, -102.65)","(-44.41, 18.65)","(-59.94, -107.74)","(5.54, 5.46)","(18.86, -97.66)","(25.91, -40.58)"
2.766336633663366,"(-5.16, -39.56)","(-13.48, -101.19)","(-44.12, 19.35)","(-58.81, -108.11)","(4.83, 6.28)","(19.67, -96.68)","(27.30, -40.23)"
3.017821782178218,"(-5.97, -38.96)","(-13.47, -99.96)","(-43.97, 20.54)","(-57.47, -108.96)","(4.03, 7.04)","(21.43, -95.61)","(28.53, -39.96)"
3.2693069306930695,"(-6.81, -38.31)","(-13.62, -98.75)","(-43.71, 21.58)","(-56.19, -109.64)","(3.27, 7.70)","(23.09, -94.45)","(29.94, -39.66)"
3.520792079207921,"(-7.21, -37.87)","(-13.64, -97.33)","(-43.20, 21.97)","(-55.16, -109.70)","(2.63, 8.29)","(23.74, -93.33)","(31.67, -39.27)"
3.772277227722772,"(-6.91, -37.77)","(-13.17, -95.65)","(-42.53, 21.68)","(-54.45, -109.04)","(2.20, 9.02)","(23.03, -92.44)","(33.53, -38.74)"
4.023762376237624,"(-5.93, -37.85)","(-11.93, -93.85)","(-41.93, 21.15)","(-53.93, -107.85)","(2.07, 10.15)","(21.37, -91.90)","(35.07, -37.85)"
4.2752475247524755,"(-4.40, -37.18)","(-9.67, -91.64)","(-41.46, 21.61)","(-53.17, -105.83)","(2.55, 12.52)","(19.81, -91.07)","(36.14, -35.70)"
4.526732673267327,"(-3.05, -36.34)","(-6.92, -90.22)","(-41.55, 22.53)","(-52.28, -104.15)","(3.34, 15.20)","(18.91, -90.64)","(36.41, -32.92)"
4.778217821782178,"(-2.21, -35.20)","(-4.17, -89.72)","(-42.14, 23.85)","(-51.18, -102.89)","(4.27, 17.88)","(19.05, -90.33)","(36.27, -29.40)"
5.02970297029703,"(-1.95, -33.86)","(-1.95, -89.86)","(-42.95, 25.14)","(-49.95, -101.86)","(5.05, 20.14)","(20.05, -89.86)","(36.38, -25.19)"
